,tweet_id,text,task1,task2,ID
2,1.1237340941086595e+18,"RT @DonaldJTrumpJr: Dear Democrats: The American people aren’t stupid, they know what spying is and no amount of gaslighting will change th…",NOT,NONE,hasoc_2020_en_3108
4,1.1268635104477102e+18,"RT @TavianJordan: Summer ‘19 I’m coming for you ! No boring shit ! Beach days, road trips, kickbacks and HOT DAYS ! I’m ready I’m ready I’m…",NOT,NONE,hasoc_2020_en_5152
9,1.1303063209917071e+18,@Nig_BMT ‘In the newspaper ‘ I weak😂😂😂. Bro this ending has pissed me off😭,NOT,NONE,hasoc_2020_en_517
11,1.1268301154245427e+18,"RT @tedlieu: Oh look, @realDonaldTrump is now sending Rudy Giuliani to actively seek the assistance of a foreign government to help Trump i…",NOT,NONE,hasoc_2020_en_5234
13,1.1268213702922568e+18,@thekoyostore @Rainbow6Game hnnnng I need,NOT,NONE,hasoc_2020_en_2645
14,1.1236420878351442e+18,"It was obvious from the very beginning he always regarded himself as a maverick, which the PM’s letter also suggest… https://t.co/RIVYzNePq1",NOT,NONE,hasoc_2020_en_2767
16,1.1268386382418289e+18,I really don’t want to start my weekend off this way - yet here I am. This vile post should be labeled a lie-… https://t.co/RFYSuDDb1b,NOT,NONE,hasoc_2020_en_723
21,1.1269700289838244e+18,RT @KeithOlbermann: NYC FOUND DOG ALERT: he’s still missing and he’s still at the 28th. Somebody’s missing him. PLEASE RT. https://t.co/8GO…,NOT,NONE,hasoc_2020_en_1258
22,1.1301652372006872e+18,@AEWrestling Have you booked hangman vs orange Cassidy yet?,NOT,NONE,hasoc_2020_en_952
23,1.1268557048774451e+18,@viddywel2 Think you're funny,NOT,NONE,hasoc_2020_en_4490
27,1.1236561933171424e+18,@LFC @ChristianSymoh You're losing fam,NOT,NONE,hasoc_2020_en_3529
28,1.1237825886682399e+18,"RT @INCMP: LIVE: Congress President Rahul Gandhi addresses public meeting in Hoshangabad, Madhya Pradesh. #AbHogaNyay https://t.co/Ag29ucRH…",NOT,NONE,hasoc_2020_en_159
32,1.1303030997830081e+18,RT @MrDane1982: I've said on election you're voring for two different Americas. Everything was on ballot and that wasn't enough. Your self…,NOT,NONE,hasoc_2020_en_1697
33,1.1269297133714063e+18,RT @HindusinUK: #Gujarati #Hindu #india #parents #mother #father #mum #dad #truth #love #compassion #child #son #daughter #sanskaras #Maa #…,NOT,NONE,hasoc_2020_en_3062
34,1.126907613545812e+18,"RT @MohanAjTweet: ஒரே ஒரு Family Entertainer Movie தான் By 
- சிவா சார் 😍🙏

Total Record Uhm Close 😉💪

Record Breaking #விஸ்வாசம் 😎🔥 https:…",NOT,NONE,hasoc_2020_en_238
